time(mins),Power (kW)
4.870163371,30.03528662
4.911435942,30.05156051
4.952708512,30.10038217
4.993981083,30.16547771
5.035253654,30.23057325
5.076526225,30.26312102
5.117798796,30.26312102
5.159071367,30.26312102
5.200343938,30.31194268
5.241616509,30.34449045
5.28288908,30.32821656
5.324161651,30.34449045
5.365434222,30.37703822
5.406706793,30.3933121
5.447979364,30.3933121
5.489251935,30.44213376
5.530524506,30.45840764
5.571797077,30.42585987
5.613069647,30.5072293
5.654342218,30.60487261
5.695614789,30.63742038
5.73688736,30.65369427
5.778159931,30.66996815
5.819432502,30.70251592
5.860705073,30.63742038
5.901977644,30.52350318
5.943250215,30.44213376
5.984522786,30.36076433
6.025795357,30.29566879
6.067067928,30.23057325
6.108340499,30.19802548
6.14961307,30.19802548
6.190885641,30.21429936
6.232158212,30.23057325
6.273430782,30.23057325
6.314703353,30.19802548
6.355975924,30.16547771
6.397248495,30.16547771
6.438521066,30.16547771
6.479793637,30.19802548
6.521066208,30.23057325
6.562338779,30.5072293
6.60361135,31.48366242
6.644883921,31.80914013
6.686156492,32.13461783
6.727429063,33.19242038
6.768701634,33.8433758
6.809974205,33.98984076
6.851246776,34.26649682
6.892519347,34.54315287
6.933791917,34.54315287
6.975064488,34.70589172
7.016337059,34.72216561
7.05760963,34.78726115
7.098882201,34.73843949
7.140154772,34.57570064
7.181427343,34.47805732
7.222699914,34.38041401
7.263972485,33.94101911
7.305245056,33.76200637
7.346517627,33.51789809
7.387790198,33.12732484
7.429062769,32.98085987
7.47033534,32.89949045
7.511607911,32.76929936
7.552880482,32.62283439
7.594153052,33.30633758
7.635425623,33.66436306
7.676698194,33.79455414
7.717970765,34.46178344
7.759243336,33.66436306
7.800515907,33.22496815
7.841788478,32.70420382
7.883061049,30.76761146
7.92433362,30.01901274
7.965606191,30.05156051
8.006878762,29.70980892
8.048151333,29.51452229
8.089423904,29.33550955
8.130696475,28.76592357
8.171969046,28.42417197
8.213241617,28.26143312
8.254514187,28.22888535
8.295786758,28.18006369
8.337059329,28.14751592
8.3783319,28.16378981
8.419604471,28.18006369
8.460877042,28.22888535
8.502149613,28.26143312
8.543422184,28.29398089
8.584694755,28.35907643
8.625967326,28.31025478
8.667239897,28.27770701
8.708512468,28.18006369
8.749785039,28.08242038
8.79105761,28.03359873
8.832330181,27.9522293
8.873602752,27.9522293
8.914875322,27.9522293
8.956147893,27.96850318
8.997420464,27.98477707
9.038693035,27.98477707
9.079965606,27.98477707
9.121238177,27.96850318
9.162510748,27.9522293
9.203783319,27.9522293
9.24505589,27.9522293
9.286328461,27.96850318
9.327601032,27.98477707
9.368873603,27.98477707
9.410146174,27.96850318
9.451418745,27.9522293
9.492691316,27.9522293
9.533963887,27.96850318
9.575236457,27.98477707
9.616509028,27.98477707
9.657781599,27.98477707
9.69905417,28.00105096
9.740326741,28.01732484
9.781599312,28.00105096
9.822871883,27.98477707
9.864144454,27.98477707
9.905417025,28.00105096
9.946689596,28.01732484
9.987962167,28.01732484
10.02923474,28.01732484
10.07050731,27.98477707
10.11177988,27.9522293
10.15305245,27.98477707
10.19432502,28.01732484
10.23559759,28.11496815
10.27687016,28.37535032
10.31814273,28.7333758
10.35941531,29.09140127
10.40068788,29.44942675
10.44196045,30.11665605
10.48323302,30.2793949
10.52450559,30.52350318
10.56577816,31.38601911
10.60705073,32.13461783
10.6483233,32.37872611
10.68959587,32.26480892
10.73086844,32.32990446
10.77214101,32.23226115
10.81341359,32.13461783
10.85468616,31.89050955
10.89595873,31.79286624
10.9372313,31.80914013
10.97850387,31.79286624
11.01977644,31.80914013
