Time_mins,power_kw,,,
16.63,157.07,,,
16.68,154.99,,,
16.74,156.07,,,
16.80,156.26,,,
16.86,155.18,,,
16.91,155.40,,,
16.97,155.63,,,
17.03,154.55,,,
17.09,156.14,,,
17.14,156.68,,,
17.20,157.57,,,
17.26,156.02,,,
17.32,156.56,,,
17.37,156.30,,,
17.43,155.76,,,
17.49,155.22,,,
17.55,155.24,,,
17.60,155.78,,,
17.66,157.20,,,
17.72,158.12,,,
17.78,157.04,,,
17.83,156.70,,,
17.89,158.40,,,
17.95,157.86,,,
18.01,155.83,,,
18.06,155.83,,,
18.12,155.37,,,
18.18,155.09,,,
18.24,155.63,,,
18.29,156.18,,,
18.35,156.70,,,
18.41,156.70,,,
18.47,156.70,,,
18.52,156.70,,,
18.58,156.27,,,
18.64,155.83,,,
18.70,155.83,,,
18.75,157.26,,,
18.81,156.72,,,
18.87,157.39,,,
18.93,157.86,,,
18.98,156.24,,,
19.04,157.57,,,
19.10,155.91,,,
19.16,156.45,,,
19.21,158.44,,,
19.27,158.44,,,
19.33,158.44,,,
19.39,158.44,,,
19.44,158.44,,,
19.50,156.33,,,
19.56,155.05,,,
19.62,156.13,,,
19.67,156.45,,,
19.73,155.91,,,
19.79,155.89,,,
19.85,158.44,,,
19.90,158.44,,,
19.96,158.10,,,
20.02,157.56,,,
20.08,157.02,,,
20.13,156.93,,,
20.19,157.47,,,
20.25,156.27,,,
20.31,156.81,,,
20.37,157.35,,,
20.42,157.57,,,
20.48,157.57,,,
20.54,158.10,,,
20.60,158.44,,,
20.65,158.44,,,
20.71,158.04,,,
20.77,157.57,,,
20.83,157.57,,,
20.88,156.12,,,
20.94,156.66,,,
21.00,154.96,,,
21.06,154.96,,,
21.11,154.96,,,
21.17,154.96,,,
21.23,155.01,,,
21.29,155.55,,,
21.34,156.96,,,
21.40,157.50,,,
21.46,157.57,,,
21.52,157.57,,,
21.57,157.57,,,
21.63,157.57,,,
21.69,157.57,,,
21.75,157.57,,,
21.80,157.35,,,
21.86,156.81,,,
21.92,156.70,,,
21.98,156.81,,,
22.03,157.35,,,
22.09,156.15,,,
22.15,156.69,,,
22.21,157.23,,,
22.26,157.77,,,
22.32,158.31,,,
22.38,158.04,,,
22.44,157.57,,,
22.49,157.57,,,
22.55,157.86,,,
22.61,158.40,,,
22.67,158.44,,,
22.72,156.87,,,
22.78,157.41,,,
22.84,155.83,,,
22.90,155.83,,,
22.95,155.83,,,
23.01,156.09,,,
23.07,156.63,,,
23.13,156.23,,,
23.18,155.83,,,
23.24,155.83,,,
23.30,156.18,,,
23.36,156.68,,,
23.41,156.14,,,
23.47,155.83,,,
23.53,155.83,,,
23.59,155.83,,,
23.64,155.83,,,
23.70,155.83,,,
23.76,157.25,,,
23.82,156.71,,,
23.87,154.96,,,
23.93,156.90,,,
23.99,157.44,,,
24.05,157.16,,,
24.10,156.62,,,
24.16,156.08,,,
24.22,156.12,,,
24.28,156.66,,,
24.33,158.07,,,
24.39,158.44,,,
24.45,158.44,,,
24.51,158.44,,,
24.56,158.44,,,
24.62,158.44,,,
24.68,158.44,,,
24.74,158.44,,,
24.79,157.51,,,
24.85,157.36,,,
24.91,156.55,,,
24.97,155.74,,,
25.02,157.54,,,
25.08,156.45,,,
25.14,158.44,,,
25.20,158.44,,,
25.25,155.39,,,
25.31,156.70,,,
25.37,156.70,,,
25.43,156.47,,,
25.49,157.55,,,
25.54,155.30,,,
25.60,156.98,,,
25.66,155.35,,,
25.72,156.29,,,
25.77,155.91,,,
25.83,156.45,,,
25.89,156.99,,,
25.95,157.53,,,
26.00,157.57,,,
26.06,157.40,,,
26.12,156.86,,,
26.18,156.70,,,
26.23,156.75,,,
26.29,157.29,,,
26.35,157.57,,,
26.41,157.57,,,
26.46,157.57,,,
26.52,157.57,,,
26.58,157.57,,,
26.64,157.57,,,
26.69,157.53,,,
26.75,156.45,,,
26.81,157.98,,,
26.87,156.90,,,
26.92,157.58,,,
26.98,156.48,,,
27.04,155.40,,,
27.10,156.15,,,
27.15,156.69,,,
27.21,155.64,,,
27.27,156.50,,,
27.33,155.96,,,
27.38,157.57,,,
27.44,157.57,,,
27.50,157.57,,,
27.56,157.57,,,
27.61,157.57,,,
27.67,157.57,,,
27.73,157.40,,,
27.79,156.86,,,
27.84,156.70,,,
27.90,156.68,,,
27.96,156.41,,,
