Time_mins,power_kw,,,
72.83,132.07,,,
72.89,131.46,,,
72.95,131.46,,,
73.00,131.46,,,
73.06,131.46,,,
73.12,131.46,,,
73.18,130.95,,,
73.23,131.98,,,
73.29,130.90,,,
73.35,129.72,,,
73.41,127.29,,,
73.46,124.86,,,
73.52,128.05,,,
73.58,126.43,,,
73.64,128.92,,,
73.69,127.03,,,
73.75,125.14,,,
73.81,123.27,,,
73.87,122.75,,,
73.92,122.75,,,
73.98,122.98,,,
74.04,123.53,,,
74.10,123.62,,,
74.15,123.51,,,
74.21,122.96,,,
74.27,122.75,,,
74.33,122.75,,,
74.38,123.29,,,
74.44,123.62,,,
74.50,123.62,,,
74.56,123.62,,,
74.61,123.62,,,
74.67,123.62,,,
74.73,123.62,,,
74.79,123.62,,,
74.84,124.13,,,
74.90,124.32,,,
74.96,123.77,,,
75.02,123.68,,,
75.07,123.77,,,
75.13,123.86,,,
75.19,123.95,,,
75.25,124.04,,,
75.30,124.13,,,
75.36,124.23,,,
75.42,124.32,,,
75.48,124.41,,,
75.53,124.52,,,
75.59,125.06,,,
75.65,124.89,,,
75.71,123.81,,,
75.76,123.60,,,
75.82,122.98,,,
75.88,124.06,,,
75.94,122.42,,,
76.00,121.88,,,
76.05,123.08,,,
76.11,122.29,,,
76.17,123.37,,,
76.23,124.53,,,
76.28,124.49,,,
76.34,124.49,,,
76.40,124.19,,,
76.46,123.65,,,
76.51,121.88,,,
76.57,121.88,,,
76.63,121.88,,,
76.69,122.27,,,
76.74,122.69,,,
76.80,122.15,,,
76.86,123.35,,,
76.92,122.81,,,
76.97,122.36,,,
77.03,123.77,,,
77.09,124.31,,,
77.15,123.42,,,
77.20,123.46,,,
77.26,120.21,,,
77.32,121.25,,,
77.38,121.79,,,
77.43,116.63,,,
77.49,116.94,,,
77.55,114.24,,,
77.61,115.24,,,
77.66,115.78,,,
77.72,113.51,,,
77.78,103.80,,,
77.84,92.99,,,
77.89,106.77,,,
77.95,90.81,,,
78.01,97.83,,,
78.07,93.54,,,
78.12,100.57,,,
78.18,82.55,,,
78.24,96.22,,,
78.30,87.03,,,
78.35,78.82,,,
78.41,81.60,,,
78.47,79.44,,,
78.53,81.63,,,
78.58,79.47,,,
78.64,81.61,,,
78.70,72.86,,,
78.76,52.87,,,
78.81,58.58,,,
78.87,46.95,,,
78.93,45.87,,,
78.99,45.27,,,
79.04,45.27,,,
79.10,44.37,,,
79.16,43.77,,,
79.22,44.85,,,
79.27,44.61,,,
79.33,43.53,,,
79.39,43.98,,,
79.45,45.93,,,
79.50,45.39,,,
79.56,38.76,,,
79.62,34.73,,,
79.68,34.19,,,
79.73,32.18,,,
79.79,30.56,,,
79.85,30.62,,,
79.91,28.73,,,
79.96,28.73,,,
80.02,33.47,,,
80.08,28.27,,,
80.14,32.06,,,
80.19,27.01,,,
80.25,34.03,,,
80.31,32.66,,,
80.37,35.87,,,
80.42,39.65,,,
80.48,39.23,,,
80.54,46.89,,,
80.60,44.73,,,
80.65,45.57,,,
80.71,42.33,,,
80.77,40.86,,,
80.83,38.30,,,
80.88,38.30,,,
80.94,38.30,,,
81.00,40.92,,,
