Time_mins,Power (kW)
0.053254438,31.94276596
0.106508876,32.01404255
0.159763314,32.01404255
0.213017751,31.98553191
0.266272189,31.98553191
0.319526627,32.01404255
0.372781065,32.07106383
0.426035503,32.14234043
0.479289941,32.17085106
0.532544379,32.17085106
0.585798817,32.1993617
0.639053254,32.21361702
0.692307692,32.1993617
0.74556213,32.14234043
0.798816568,32.11382979
0.852071006,32.08531915
0.905325444,32.02829787
0.958579882,32.01404255
1.01183432,31.99978723
1.065088757,31.95702128
1.118343195,31.9
1.171597633,31.77170213
1.224852071,31.57212766
1.278106509,31.31553191
1.331360947,31.1587234
1.384615385,31.21574468
1.437869822,31.20148936
1.49112426,31.10170213
1.544378698,31.05893617
1.597633136,31.04468085
1.650887574,31.01617021
1.704142012,30.94489362
1.75739645,30.87361702
1.810650888,30.84510638
1.863905325,30.83085106
1.917159763,30.78808511
1.970414201,30.75957447
2.023668639,30.77382979
2.076923077,30.87361702
2.130177515,30.90212766
2.183431953,31.04468085
2.236686391,31.17297872
2.289940828,31.23
2.343195266,31.32978723
2.396449704,31.37255319
2.449704142,31.44382979
2.50295858,31.44382979
2.556213018,31.42957447
2.609467456,31.42957447
2.662721893,31.47234043
2.715976331,31.48659574
2.769230769,31.48659574
2.822485207,31.48659574
2.875739645,31.50085106
2.928994083,31.5293617
2.982248521,31.5293617
3.035502959,31.5293617
3.088757396,31.55787234
3.142011834,31.58638298
3.195266272,31.55787234
3.24852071,31.54361702
3.301775148,31.54361702
3.355029586,31.54361702
3.408284024,31.5293617
3.461538462,31.51510638
3.514792899,31.55787234
3.568047337,31.57212766
3.621301775,31.55787234
3.674556213,31.58638298
3.727810651,31.62914894
3.781065089,31.61489362
3.834319527,31.64340426
3.887573964,31.68617021
3.940828402,31.50085106
3.99408284,31.38680851
4.047337278,31.32978723
4.100591716,31.18723404
4.153846154,31.08744681
4.207100592,31.00191489
4.26035503,31.01617021
4.313609467,31.01617021
4.366863905,30.98765957
4.420118343,31.00191489
4.473372781,31.04468085
4.526627219,31.05893617
4.579881657,31.04468085
4.633136095,31.07319149
4.686390533,31.10170213
4.73964497,31.08744681
4.792899408,31.07319149
4.846153846,31.07319149
4.899408284,31.08744681
4.952662722,31.13021277
5.00591716,31.17297872
5.059171598,31.1587234
5.112426036,31.1587234
5.165680473,31.13021277
5.218934911,31.05893617
5.272189349,31.05893617
5.325443787,31.10170213
5.378698225,31.14446809
5.431952663,31.1587234
5.485207101,31.1587234
5.538461538,31.14446809
5.591715976,31.10170213
5.644970414,31.05893617
5.698224852,31.04468085
5.75147929,31.05893617
5.804733728,31.07319149
5.857988166,31.07319149
5.911242604,31.04468085
5.964497041,31.03042553
6.017751479,30.94489362
6.071005917,30.87361702
6.124260355,30.91638298
6.177514793,30.90212766
6.230769231,30.88787234
6.284023669,30.8593617
6.337278107,30.78808511
6.390532544,30.71680851
6.443786982,30.65978723
6.49704142,30.6312766
6.550295858,30.6312766
6.603550296,30.64553191
6.656804734,30.6312766
6.710059172,30.6312766
6.763313609,30.65978723
6.816568047,30.67404255
6.869822485,30.68829787
6.923076923,30.67404255
6.976331361,30.65978723
7.029585799,30.61702128
7.082840237,30.57425532
7.136094675,30.47446809
7.189349112,30.40319149
7.24260355,30.34617021
7.295857988,30.21787234
7.349112426,30.16085106
7.402366864,30.11808511
7.455621302,30.07531915
7.50887574,30.06106383
7.562130178,30.03255319
7.615384615,30.00404255
7.668639053,29.9612766
7.721893491,29.91851064
7.775147929,29.90425532
7.828402367,29.84723404
7.881656805,29.83297872
7.934911243,29.8187234
7.98816568,29.87574468
8.041420118,30.08957447
8.094674556,30.38893617
8.147928994,30.61702128
8.201183432,30.67404255
8.25443787,30.74531915
8.307692308,30.73106383
8.360946746,30.64553191
8.414201183,30.57425532
8.467455621,30.4887234
8.520710059,31.03042553
8.573964497,31.03042553
8.627218935,30.6312766
8.680473373,31.88574468
8.733727811,32.59851064
8.786982249,32.65553191
8.840236686,33.15446809
8.893491124,33.28276596
8.946745562,33.32553191
9,33.26851064
9.053254438,33.19723404
9.106508876,33.11170213
9.159763314,33.09744681
9.213017751,33.19723404
9.266272189,33.36829787
9.319526627,33.9812766
9.372781065,34.16659574
9.426035503,33.82446809
9.479289941,34.16659574
9.532544379,34.05255319
9.585798817,33.28276596
9.639053254,32.59851064
9.692307692,31.54361702
9.74556213,31.25851064
9.798816568,30.97340426
9.852071006,30.23212766
9.905325444,29.98978723
9.958579882,30.07531915
10.01183432,30.41744681
10.06508876,30.34617021
10.1183432,30.4887234
10.17159763,30.81659574
10.22485207,30.87361702
10.27810651,30.91638298
10.33136095,30.9306383
10.38461538,30.9306383
