Time_mins,power_kw,
0.00,50.87,
0.04,49.94,
0.09,49.16,
0.13,48.70,
0.17,46.59,
0.22,47.28,
0.26,47.97,
0.30,50.67,
0.35,49.75,
0.39,51.41,
0.43,50.95,
0.48,50.87,
0.52,50.87,
0.56,50.87,
0.61,50.87,
0.65,50.87,
0.69,50.87,
0.74,50.87,
0.78,50.87,
0.82,49.45,
0.87,49.91,
0.91,48.81,
0.95,49.27,
1.00,49.73,
1.04,48.84,
1.08,50.23,
1.13,49.30,
1.17,49.30,
1.21,50.48,
1.26,50.02,
1.30,49.56,
1.34,49.88,
1.39,49.42,
1.43,49.64,
1.47,48.54,
1.52,49.00,
1.56,50.25,
1.60,50.71,
1.65,50.87,
1.69,50.87,
1.74,50.87,
1.78,50.87,
1.82,50.87,
1.87,49.56,
1.91,50.02,
1.95,49.68,
2.00,49.30,
2.04,49.30,
2.08,49.08,
2.13,48.62,
2.17,48.52,
2.21,48.48,
2.26,48.02,
2.30,47.91,
2.34,48.37,
2.39,48.83,
2.43,49.29,
2.47,49.86,
2.52,49.63,
2.56,49.40,
2.60,50.89,
2.65,52.28,
2.69,50.46,
2.73,50.08,
2.78,50.08,
2.82,50.08,
2.86,50.08,
2.91,51.19,
2.95,50.91,
2.99,51.37,
3.04,50.27,
3.08,50.73,
3.12,51.84,
3.17,61.92,
3.21,76.21,
3.25,60.61,
3.30,54.15,
3.34,73.61,
3.38,51.94,
3.43,71.10,
3.47,54.68,
3.51,54.22,
3.56,52.19,
3.60,51.73,
3.64,50.82,
3.69,50.03,
3.73,49.56,
3.77,46.76,
3.82,46.29,
3.86,48.29,
3.90,46.97,
3.95,47.43,
3.99,46.17,
4.03,46.17,
4.08,47.44,
4.12,46.98,
4.16,46.52,
4.21,44.94,
4.25,46.32,
4.29,45.39,
4.34,45.39,
4.38,45.39,
4.42,45.46,
4.47,45.92,
4.51,46.27,
4.55,46.50,
4.60,46.73,
4.64,46.98,
4.68,47.44,
4.73,47.40,
4.77,46.48,
4.81,46.47,
4.86,46.94,
4.90,46.51,
4.94,46.05,
4.99,45.59,
5.03,45.78,
5.08,46.47,
5.12,47.16,
5.16,47.65,
5.21,47.19,
5.25,46.95,
5.29,46.95,
5.34,46.59,
5.38,46.17,
5.42,46.17,
5.47,46.35,
5.51,46.81,
5.55,47.27,
5.60,47.73,
5.64,46.75,
5.68,47.60,
5.73,47.14,
5.77,60.18,
5.81,66.63,
5.86,62.91,
5.90,73.56,
5.94,81.39,
5.99,90.87,
6.03,109.77,
6.07,91.73,
6.12,113.43,
6.16,105.59,
6.20,99.74,
6.25,102.50,
6.29,94.78,
6.33,77.37,
6.38,69.53,
6.42,31.44,
6.46,31.91,
6.51,43.75,
6.55,42.36,
6.59,43.17,
6.64,43.04,
6.68,43.04,
6.72,43.34,
6.77,42.41,
6.81,43.02,
6.85,43.76,
6.90,43.30,
6.94,42.06,
6.98,41.60,
7.03,41.81,
7.07,42.27,
7.11,42.74,
7.16,41.95,
7.20,43.33,
7.24,42.26,
7.29,42.26,
7.33,42.51,
7.37,43.04,
7.42,43.04,
7.46,43.04,
7.50,43.04,
7.55,43.04,
7.59,43.04,
7.63,43.04,
7.68,42.11,
7.72,43.49,
7.76,42.96,
7.81,43.85,
7.85,44.31,
7.89,44.77,
7.94,45.23,
7.98,42.56,
8.02,41.73,
8.07,48.89,
8.11,49.46,
8.15,58.39,
8.20,50.08,
8.24,52.75,
8.28,135.03,
8.33,156.02,
8.37,207.42,
8.42,172.06,
8.46,223.46,
8.50,237.23,
8.55,237.43,
8.59,237.43,
8.63,236.17,
8.68,236.75,
8.72,233.42,
8.76,230.50,
8.81,235.24,
8.85,232.62,
8.89,231.45,
8.94,231.94,
8.98,231.07,
9.02,233.09,
9.07,231.66,
9.11,232.53,
9.15,232.37,
9.20,231.20,
9.24,229.15,
9.28,230.92,
9.33,234.71,
9.37,229.37,
9.41,229.08,
9.46,231.21,
9.50,237.39,
9.54,235.64,
9.59,226.52,
9.63,226.52,
9.67,231.58,
9.72,227.78,
9.76,229.84,
9.80,227.69,
9.85,230.61,
9.89,231.66,
9.93,220.86,
9.98,217.84,
10.02,215.36,
10.06,206.30,
10.11,214.79,
10.15,209.53,
10.19,192.10,
10.24,186.33,
10.28,185.45,
10.32,184.20,
10.37,185.07,
10.41,187.06,
10.45,187.35,
10.50,164.33,
10.54,126.41,
10.58,110.46,
10.63,138.16,
10.67,119.98,89.98
10.71,112.04,82.04
10.76,112.63,82.63
10.80,111.76,81.76
10.84,111.42,81.42
10.89,111.71,81.71
10.93,111.78,81.78
10.97,112.75,82.75
11.02,112.46,82.46
11.06,111.29,81.29
11.10,111.29,81.29
11.15,112.68,82.68
11.19,112.53,82.53
11.23,112.38,82.38
11.28,112.36,82.36
11.32,112.65,82.65
11.36,112.94,82.94
11.41,113.24,83.24
11.45,112.75,82.75
11.49,112.66,82.66
11.54,112.08,82.08
11.58,111.14,81.14
11.62,110.85,80.85
11.67,112.54,82.54
11.71,107.41,77.41
11.75,108.28,78.28
11.80,105.78,75.78
11.84,105.63,75.63
11.89,105.48,75.48
11.93,104.35,74.35
11.97,104.35,74.35
12.02,105.25,75.25
12.06,104.96,74.96
12.10,104.21,74.21
12.15,104.79,74.79
12.19,105.37,75.37
12.23,104.78,74.78
12.28,104.49,74.49
12.32,104.50,74.50
12.36,104.79,74.79
12.41,105.08,75.08
12.45,105.32,75.32
12.49,105.12,75.12
12.54,104.93,74.93
12.58,104.73,74.73
12.62,104.54,74.54
12.67,104.36,74.36
12.71,104.65,74.65
12.75,104.84,74.84
12.80,104.84,74.84
12.84,104.66,74.66
12.88,104.37,74.37
12.93,104.89,74.89
12.97,105.27,75.27
13.01,104.98,74.98
13.06,104.69,74.69
13.10,104.39,74.39
13.14,104.59,74.59
13.19,103.85,73.85
13.23,103.85,73.85
13.27,104.37,74.37
13.32,105.54,75.54
13.36,103.80,73.80
13.40,103.07,73.07
13.45,102.34,72.34
13.49,102.94,72.94
13.53,101.77,71.77
13.58,102.04,72.04
13.62,98.54,68.54
13.66,100.12,70.12
13.71,98.32,68.32
13.75,98.03,68.03
13.79,98.89,68.89
13.84,98.89,68.89
13.88,97.65,67.65
13.92,98.35,68.35
13.97,98.06,68.06
14.01,97.77,67.77
14.05,97.47,67.47
14.10,98.63,68.63
14.14,98.87,68.87
14.18,98.58,68.58
14.23,98.45,68.45
14.27,98.60,68.60
14.31,98.75,68.75
14.36,98.89,68.89
14.40,99.18,69.18
14.44,98.48,68.48
14.49,98.78,68.78
14.53,98.98,68.98
14.57,99.13,69.13
14.62,99.27,69.27
14.66,99.28,69.28
14.70,98.69,68.69
14.75,98.60,68.60
14.79,98.02,68.02
14.83,97.67,67.67
14.88,97.50,67.50
14.92,98.37,68.37
14.96,98.78,68.78
15.01,98.48,68.48
15.05,98.40,68.40
15.09,98.40,68.40
15.14,98.40,68.40
15.18,98.40,68.40
15.23,98.40,68.40
15.27,93.91,63.91
15.31,86.61,56.61
15.36,87.72,57.72
15.40,91.89,61.89
15.44,91.60,61.60
15.49,78.50,48.50
15.53,76.45,46.45
15.57,68.39,38.39
15.62,69.04,39.04
15.66,68.17,38.17
15.70,68.80,38.80
15.75,71.42,41.42
15.79,69.02,39.02
15.83,79.53,49.53
15.88,78.66,48.66
15.92,88.34,58.34
15.96,109.95,79.95
16.01,93.33,63.33
16.05,116.40,86.40
16.09,116.35,86.35
16.14,115.68,85.68
16.18,115.38,85.38
16.22,116.60,86.60
16.27,115.43,85.43
16.31,117.24,87.24
16.35,102.05,87.05
16.40,104.09,89.09
16.44,103.47,88.47
16.48,107.26,92.26
16.53,109.67,94.67
16.57,111.17,96.17
16.61,111.47,96.47
16.66,111.65,96.65
16.70,111.65,96.65
16.74,111.24,96.24
16.79,112.12,97.12
16.83,110.17,95.17
16.87,107.77,92.77
16.92,108.06,93.06
16.96,110.14,95.14
17.00,106.64,91.64
17.05,106.46,91.46
17.09,106.70,91.70
17.13,106.70,91.70
17.18,107.20,92.20
17.22,105.16,90.16
17.26,106.66,91.66
17.31,104.14,89.14
17.35,103.27,88.27
17.39,104.71,89.71
17.44,104.71,89.71
17.48,119.51,
17.52,162.73,
17.57,112.19,
17.61,105.77,
17.65,119.72,
17.70,173.59,
17.74,170.52,
17.78,174.18,
17.83,175.25,
17.87,184.01,
17.91,178.40,
17.96,187.16,
18.00,177.12,
18.04,163.39,
